Name,CompanyType,ValidationStatus,Phone_Type,Phone_Number,Email_Type,Email_Value,Email_Active,TaxID,Identifiers_Type,Identifiers_Value,Identifiers_Status,Address Input,Address Line 1,Address Line 2,City,State or Province,Country,Postal Code,Zip5,Zip4
"Cabrera, Hall and Acosta",Government,Rejected,Fax,(997) 928-5443,Support,jennifer.reed@cabrera.com,True,TAX57727,EIN,nL15829,Expired,"68669 Miranda Mission, Suite 715, West Karen, FM 85645-5426",68669 Miranda Mission,Suite 715,West Karen,FM,USA,85645-5426,85645,5426
Williams-Taylor,Non-Profit,Rejected,Home,(640) 784-4437,Personal,christopher.james@williamstaylor.com,True,TAX68792,LEI,MP71060,Active,"1115 Shaw Estates, Rosstown, OR 76985-6814",1115 Shaw Estates,,Rosstown,OR,USA,76985-6814,76985,6814
Clark-Williams,Partnership,Pending,Office,(385) 800-3231,Business,julie.drake@clarkwilliams.com,False,TAX54524,PAN,eh40339,Pending,"40421 Miller Fork Suite 275, Lake Robertmouth, DC 54158-5555",40421 Miller Fork Suite 275,,Lake Robertmouth,DC,USA,54158-5555,54158,5555
Peterson Ltd,LLC,Validated,Fax,(703) 716-5628,HR,dennis.james@peterson.com,True,TAX70766,EIN,lt78196,Pending,"70102 Andrew Village, Suite 039, Port Jonathanton, TN 27164-4086",70102 Andrew Village,Suite 039,Port Jonathanton,TN,USA,27164-4086,27164,4086
"Matthews, Myers and Brown",LLC,Pending,Fax,(268) 307-9883,Business,jerome.herrera@matthews.com,False,TAX44130,DUNS,AO52243,Inactive,"2099 Williams Trail Apt. 955, Suite 890, South Timothystad, WA 17856-1885",2099 Williams Trail Apt. 955,Suite 890,South Timothystad,WA,USA,17856-1885,17856,1885
Mcbride-Hamilton,Private,Approved,Home,(206) 838-4872,Support,sarah.burgess@mcbridehamilton.com,True,TAX77837,GST,LG95467,Expired,"66152 Navarro Bypass, Apt. 818, Dorseyberg, MH 42771-8092",66152 Navarro Bypass,Apt. 818,Dorseyberg,MH,USA,42771-8092,42771,8092
Johnson-Daniel,Non-Profit,Rejected,Fax,(929) 394-1898,Personal,gregory.york@johnsondaniel.com,False,TAX35586,TIN,WW36977,Pending,"978 Morales Bypass Apt. 684, Suite 481, Beasleyton, AL 82971-2775",978 Morales Bypass Apt. 684,Suite 481,Beasleyton,AL,USA,82971-2775,82971,2775
Kim-Martin,Partnership,In Review,Office,(642) 370-5233,Business,jerry.sanders@kimmartin.com,True,TAX92586,TIN,on21492,Pending,"13509 Hubbard Mountains Apt. 857, West Christopherfurt, CO 88978-5843",13509 Hubbard Mountains Apt. 857,,West Christopherfurt,CO,USA,88978-5843,88978,5843
Salazar LLC,Private,Approved,Office,(396) 915-5824,Personal,robert.paul@salazar.com,True,TAX47519,DUNS,xq17692,Expired,"94614 Weber Turnpike Apt. 362, Suite 318, South Josephville, NM 11205-4797",94614 Weber Turnpike Apt. 362,Suite 318,South Josephville,NM,USA,11205-4797,11205,4797
"Cain, Anderson and Mora",Private,Rejected,Fax,(899) 422-7627,Personal,taylor.johnson@cain.com,True,TAX65934,TIN,vD40875,Pending,"3953 Hill Forest Apt. 598, Stephanieborough, WY 25403-9591",3953 Hill Forest Apt. 598,,Stephanieborough,WY,USA,25403-9591,25403,9591
Palmer-Hughes,LLC,Rejected,Fax,(663) 983-1474,HR,david.moore@palmerhughes.com,False,TAX27715,GST,BW49080,Inactive,"1892 Timothy Meadow, Apt. 245, Johnsonbury, ID 26619-6805",1892 Timothy Meadow,Apt. 245,Johnsonbury,ID,USA,26619-6805,26619,6805
Bender PLC,Non-Profit,Approved,Office,(314) 396-7286,HR,robin.moreno@bender.com,False,TAX61970,DUNS,dI53270,Inactive,"3404 Juan Point, East Steven, FM 77956-9875",3404 Juan Point,,East Steven,FM,USA,77956-9875,77956,9875
Webb-Gaines,Government,Rejected,Fax,(493) 988-8470,Sales,elizabeth.morales@webbgaines.com,True,TAX80502,DUNS,Hn22932,Inactive,"24701 Wright Path Suite 415, Apt. 877, Port Matthewbury, AZ 60442-4409",24701 Wright Path Suite 415,Apt. 877,Port Matthewbury,AZ,USA,60442-4409,60442,4409
Sparks-Mclaughlin,LLC,Rejected,Home,(655) 434-8519,Support,natalie.rivera@sparksmclaughlin.com,False,TAX20874,PAN,QC47149,Inactive,"6221 Green Vista, Zacharybury, HI 59088-8408",6221 Green Vista,,Zacharybury,HI,USA,59088-8408,59088,8408
Robinson-Gutierrez,Government,Rejected,Mobile,(504) 742-1247,Sales,alicia.duarte@robinsongutierrez.com,False,TAX80037,PAN,Ca20574,Active,"03150 Guerra View, Wangshire, HI 63925-6338",03150 Guerra View,,Wangshire,HI,USA,63925-6338,63925,6338
Holmes-Bennett,Partnership,Approved,Fax,(217) 449-3249,Support,jennifer.becker@holmesbennett.com,False,TAX54943,EIN,Vs18340,Expired,"7304 Heath Plaza, Suite 080, Ericville, CA 56782-6695",7304 Heath Plaza,Suite 080,Ericville,CA,USA,56782-6695,56782,6695
"Garcia, Powell and Walker",LLC,Validated,Office,(654) 902-3192,Sales,jennifer.barnes@garcia.com,False,TAX14688,GST,WF83445,Expired,"404 Laura Canyon, Taylorstad, WI 53176-2258",404 Laura Canyon,,Taylorstad,WI,USA,53176-2258,53176,2258
Allen LLC,Public,In Review,Home,(312) 384-6409,Support,matthew.keller@allen.com,True,TAX67659,LEI,ng67393,Active,"077 Kenneth Cape Apt. 944, New Ronald, FL 63096-1952",077 Kenneth Cape Apt. 944,,New Ronald,FL,USA,63096-1952,63096,1952
Alvarez-Forbes,Private,Rejected,Office,(390) 798-1354,HR,stephen.peterson@alvarezforbes.com,False,TAX71595,LEI,xN29458,Expired,"004 Jackson Keys Suite 025, South Shaunview, WA 86205-6946",004 Jackson Keys Suite 025,,South Shaunview,WA,USA,86205-6946,86205,6946
"Hunter, Scott and Henry",Public,In Review,Office,(262) 292-4423,HR,robert.reed@hunter.com,False,TAX49093,PAN,II82645,Inactive,"4913 Hunter Radial Apt. 566, Suite 652, East Cheryl, NC 64883-3459",4913 Hunter Radial Apt. 566,Suite 652,East Cheryl,NC,USA,64883-3459,64883,3459
Smith-Anderson,Public,Validated,Fax,(837) 345-9462,HR,alexandra.park@smithanderson.com,True,TAX92295,DUNS,uN60233,Pending,"469 Derrick Locks, Apt. 202, Lake Rebekah, WV 65415-9684",469 Derrick Locks,Apt. 202,Lake Rebekah,WV,USA,65415-9684,65415,9684
Powell-Bishop,LLC,Pending,Home,(441) 606-4248,Personal,david.johnson@powellbishop.com,False,TAX96678,EIN,BZ11655,Pending,"48622 Jason Center, Suite 518, Port Jamesberg, SD 30630-6999",48622 Jason Center,Suite 518,Port Jamesberg,SD,USA,30630-6999,30630,6999
Browning-Johnson,Public,Pending,Office,(669) 814-6353,Sales,melissa.vargas@browningjohnson.com,False,TAX78147,GST,Bz78658,Pending,"89208 Robert Walks, Apt. 060, Port Lisaborough, KY 29590-8359",89208 Robert Walks,Apt. 060,Port Lisaborough,KY,USA,29590-8359,29590,8359
Jackson-Miller,Non-Profit,Pending,Fax,(783) 560-5725,Personal,jerry.bennett@jacksonmiller.com,True,TAX41338,LEI,nc18136,Expired,"6222 Adkins Shoals, South Laceytown, AR 63038-9839",6222 Adkins Shoals,,South Laceytown,AR,USA,63038-9839,63038,9839
Vaughan-Mack,Partnership,In Review,Fax,(952) 252-4227,Business,marisa.mercer@vaughanmack.com,False,TAX42989,EIN,Bk64985,Inactive,"329 Hamilton Hollow Apt. 219, Romerotown, WI 82771-7779",329 Hamilton Hollow Apt. 219,,Romerotown,WI,USA,82771-7779,82771,7779
Harrison-Hardin,Partnership,Rejected,Home,(437) 362-2073,HR,benjamin.myers@harrisonhardin.com,False,TAX80842,LEI,ys77575,Inactive,"474 Curtis Ports Apt. 611, Apt. 862, Port Bethanyhaven, IA 57677-2795",474 Curtis Ports Apt. 611,Apt. 862,Port Bethanyhaven,IA,USA,57677-2795,57677,2795
"Cline, Wagner and Nielsen",Private,Validated,Office,(644) 926-2189,Sales,hannah.miller@cline.com,True,TAX45330,LEI,bM99775,Expired,"3187 Wade Prairie Apt. 105, Davismouth, RI 24959-1200",3187 Wade Prairie Apt. 105,,Davismouth,RI,USA,24959-1200,24959,1200
"Goodman, Johnson and Daniels",Public,Approved,Office,(533) 288-4016,HR,kevin.hansen@goodman.com,False,TAX11623,EIN,Av23072,Expired,"929 Flores Squares, West Williamside, MT 73516-4069",929 Flores Squares,,West Williamside,MT,USA,73516-4069,73516,4069
Barnes-Tran,Private,Pending,Fax,(267) 701-1492,HR,jonathan.arellano@barnestran.com,True,TAX89878,GST,Hu10143,Expired,"847 John Lights, Suite 820, Tylerchester, CA 46809-4130",847 John Lights,Suite 820,Tylerchester,CA,USA,46809-4130,46809,4130
"Fletcher, Jones and Alvarado",Government,Rejected,Office,(535) 757-9577,Business,jean.atkins@fletcher.com,False,TAX89612,PAN,eR78660,Inactive,"041 Scott Parkway, Apt. 373, West Michaelbury, MA 39818-8746",041 Scott Parkway,Apt. 373,West Michaelbury,MA,USA,39818-8746,39818,8746
Brown Group,LLC,Rejected,Mobile,(643) 544-3679,Sales,kevin.sullivan@brown.com,True,TAX78865,LEI,GF45018,Inactive,"794 Timothy Wells, Suite 296, Mooreshire, MT 51258-7396",794 Timothy Wells,Suite 296,Mooreshire,MT,USA,51258-7396,51258,7396
Hayes-Martin,Government,Pending,Office,(763) 335-4518,Sales,kevin.taylor@hayesmartin.com,True,TAX25444,GST,Vj24814,Active,"09377 Aguilar Extension, Sergiotown, HI 87183-7181",09377 Aguilar Extension,,Sergiotown,HI,USA,87183-7181,87183,7181
Chapman-Willis,Government,In Review,Home,(361) 408-1181,Personal,robin.lopez@chapmanwillis.com,True,TAX31939,GST,jd92878,Inactive,"5053 Wells Islands, Apt. 456, Andrewside, WI 45388-5197",5053 Wells Islands,Apt. 456,Andrewside,WI,USA,45388-5197,45388,5197
Wood-Chavez,Partnership,Validated,Fax,(845) 615-8648,Business,cody.mcgee@woodchavez.com,False,TAX24385,PAN,PM36269,Inactive,"3705 Hawkins Locks, Andrewfort, MS 95014-2206",3705 Hawkins Locks,,Andrewfort,MS,USA,95014-2206,95014,2206
Johnson PLC,Non-Profit,Validated,Office,(398) 423-8611,Personal,richard.holt@johnson.com,True,TAX98044,DUNS,xA80828,Expired,"139 Paul Skyway, Suite 149, South Chase, WA 77669-5931",139 Paul Skyway,Suite 149,South Chase,WA,USA,77669-5931,77669,5931
"Rogers, Schmitt and Mclaughlin",Non-Profit,Pending,Mobile,(489) 807-1311,HR,ashley.mason@rogers.com,True,TAX55623,PAN,jg27372,Expired,"303 Harris Valley, Suite 210, New Angelamouth, AK 88283-1504",303 Harris Valley,Suite 210,New Angelamouth,AK,USA,88283-1504,88283,1504
Holmes-Owen,Partnership,Rejected,Fax,(926) 991-1242,Sales,steve.smith@holmesowen.com,True,TAX55742,EIN,kz42993,Expired,"58831 Clark Center Apt. 823, Michaelshire, NV 27317-8917",58831 Clark Center Apt. 823,,Michaelshire,NV,USA,27317-8917,27317,8917
Wallace Group,Public,In Review,Home,(592) 825-8512,Support,melanie.hernandez@wallace.com,True,TAX56038,TIN,tu03345,Pending,"4784 Huang Roads, Apt. 741, Kendramouth, WA 99127-5638",4784 Huang Roads,Apt. 741,Kendramouth,WA,USA,99127-5638,99127,5638
Reed LLC,Government,Pending,Mobile,(448) 282-8458,HR,joshua.mitchell@reed.com,False,TAX77992,EIN,jd26631,Inactive,"28288 Benjamin Shoals, Bishopville, SC 56210-4474",28288 Benjamin Shoals,,Bishopville,SC,USA,56210-4474,56210,4474
Marks and Sons,LLC,Approved,Fax,(215) 670-8230,HR,donna.johnson@marks.com,True,TAX40405,EIN,xG68176,Active,"01868 Kaitlyn Forest Apt. 603, Suite 003, Christopherside, VA 72603-1771",01868 Kaitlyn Forest Apt. 603,Suite 003,Christopherside,VA,USA,72603-1771,72603,1771
Nguyen Group,LLC,Rejected,Mobile,(981) 295-6098,Business,stephen.brown@nguyen.com,True,TAX13336,PAN,pj13907,Pending,"2591 Austin Divide, Lake Michael, IL 57229-8034",2591 Austin Divide,,Lake Michael,IL,USA,57229-8034,57229,8034
Hebert-Mcgrath,Government,Pending,Mobile,(690) 969-9168,HR,jessica.morgan@hebertmcgrath.com,True,TAX12139,LEI,Si15005,Active,"5440 Mcdowell Islands Suite 776, Apt. 493, Eileenfort, KY 50352-7761",5440 Mcdowell Islands Suite 776,Apt. 493,Eileenfort,KY,USA,50352-7761,50352,7761
Allen LLC,Government,Rejected,Home,(422) 939-7983,Support,tracy.payne@allen.com,True,TAX93047,EIN,Dg28250,Pending,"37343 Douglas Mall Suite 308, Alexanderberg, PR 56310-3208",37343 Douglas Mall Suite 308,,Alexanderberg,PR,USA,56310-3208,56310,3208
Stewart-Guzman,Government,Pending,Home,(652) 488-1041,Sales,lauren.dixon@stewartguzman.com,False,TAX30032,GST,HI54997,Pending,"6665 Jeremy Pines, Apt. 240, Sierraborough, SD 51284-7126",6665 Jeremy Pines,Apt. 240,Sierraborough,SD,USA,51284-7126,51284,7126
Miller PLC,Public,Pending,Office,(487) 393-5612,Sales,zachary.bray@miller.com,True,TAX79850,EIN,yU26549,Active,"1178 Lorraine Brooks, Apt. 506, North Catherineshire, MN 94799-5821",1178 Lorraine Brooks,Apt. 506,North Catherineshire,MN,USA,94799-5821,94799,5821
Moore-Richardson,Non-Profit,Approved,Mobile,(326) 241-9537,HR,christina.wolf@moorerichardson.com,False,TAX20498,GST,zV56265,Pending,"77501 Frank Land, Port Tom, NC 15731-3086",77501 Frank Land,,Port Tom,NC,USA,15731-3086,15731,3086
Robles PLC,Private,Validated,Mobile,(974) 524-8681,Support,collin.hughes@robles.com,False,TAX72586,LEI,HH45744,Pending,"8815 Mcmillan Brooks Apt. 119, Suite 494, Alifurt, CO 91580-3140",8815 Mcmillan Brooks Apt. 119,Suite 494,Alifurt,CO,USA,91580-3140,91580,3140
"Rodriguez, Phelps and Rivers",Non-Profit,In Review,Mobile,(588) 868-2197,Personal,russell.smith@rodriguez.com,True,TAX37513,GST,FK33957,Inactive,"868 Michelle Fork, Suite 324, Lunafort, TN 48997-8687",868 Michelle Fork,Suite 324,Lunafort,TN,USA,48997-8687,48997,8687
Rowland-Jones,Public,Rejected,Mobile,(229) 550-9381,Support,kevin.scott@rowlandjones.com,False,TAX89445,TIN,Qd25773,Inactive,"3164 Donovan Plaza, Suite 240, Port Ericport, PA 10318-5071",3164 Donovan Plaza,Suite 240,Port Ericport,PA,USA,10318-5071,10318,5071
"Watson, Fox and Carter",Public,In Review,Mobile,(753) 919-4987,Business,richard.brennan@watson.com,False,TAX41499,GST,JT69651,Active,"85138 Sean Junction Apt. 909, Suite 227, South Brittneyburgh, DE 85743-6200",85138 Sean Junction Apt. 909,Suite 227,South Brittneyburgh,DE,USA,85743-6200,85743,6200
Davis Ltd,Government,In Review,Office,(910) 316-6444,Support,jamie.cervantes@davis.com,True,TAX88563,TIN,LS28366,Expired,"392 Michael Islands Suite 826, Apt. 991, West Dominictown, VT 96801-6042",392 Michael Islands Suite 826,Apt. 991,West Dominictown,VT,USA,96801-6042,96801,6042
"Meza, Clarke and Beck",Partnership,In Review,Fax,(779) 907-7802,Business,jenny.gray@meza.com,True,TAX34312,GST,Kp87744,Pending,"45846 Stanley Ridges, West Christopherburgh, MN 46917-2503",45846 Stanley Ridges,,West Christopherburgh,MN,USA,46917-2503,46917,2503
"Taylor, White and Wiley",Non-Profit,Pending,Fax,(341) 478-3789,Business,mackenzie.reed@taylor.com,True,TAX15922,PAN,bv58250,Inactive,"6801 Carrie Shore Suite 224, Suite 208, Danielfort, MO 42579-9540",6801 Carrie Shore Suite 224,Suite 208,Danielfort,MO,USA,42579-9540,42579,9540
Foster-Riddle,Private,Rejected,Home,(666) 247-4944,Support,meghan.gonzalez@fosterriddle.com,True,TAX45620,GST,wW51280,Active,"356 Yu Green, Apt. 077, Port Jacqueline, PA 99207-7496",356 Yu Green,Apt. 077,Port Jacqueline,PA,USA,99207-7496,99207,7496
Peterson LLC,Private,Approved,Home,(823) 471-4066,Support,adrian.prince@peterson.com,False,TAX81625,LEI,VW63081,Pending,"132 Christian Courts, South Kevinton, FL 12653-8735",132 Christian Courts,,South Kevinton,FL,USA,12653-8735,12653,8735
Ross LLC,Partnership,Validated,Mobile,(671) 517-6643,Sales,thomas.cooper@ross.com,False,TAX37259,TIN,iF86399,Expired,"728 Ronald Ford Suite 388, Port Jamesland, NV 30936-9959",728 Ronald Ford Suite 388,,Port Jamesland,NV,USA,30936-9959,30936,9959
Burch Ltd,Government,Approved,Home,(427) 573-4668,Sales,amber.benton@burch.com,True,TAX78796,PAN,Oh03101,Expired,"256 Stevens Squares Apt. 721, Apt. 350, North Jose, FM 11857-9105",256 Stevens Squares Apt. 721,Apt. 350,North Jose,FM,USA,11857-9105,11857,9105
"Davis, Taylor and Baker",LLC,Pending,Home,(447) 896-6014,Business,eric.holt@davis.com,False,TAX15047,EIN,FH80966,Active,"84961 Nathan Fall, Suite 416, North Zachary, MP 54256-9019",84961 Nathan Fall,Suite 416,North Zachary,MP,USA,54256-9019,54256,9019
"Ross, Mcbride and Smith",Partnership,Validated,Home,(845) 549-5931,HR,cynthia.hendricks@ross.com,False,TAX64076,EIN,EM02279,Active,"395 Thomas River, West Kimberly, MA 77141-7978",395 Thomas River,,West Kimberly,MA,USA,77141-7978,77141,7978
Bates and Sons,Government,Approved,Home,(864) 640-3037,Support,taylor.mcintyre@bates.com,True,TAX70857,DUNS,Qr82700,Inactive,"23246 Barbara Well Apt. 932, Apt. 026, East Brookebury, ID 80523-5619",23246 Barbara Well Apt. 932,Apt. 026,East Brookebury,ID,USA,80523-5619,80523,5619
"Scott, Jones and Hall",Non-Profit,In Review,Office,(304) 714-9851,Sales,joseph.rios@scott.com,False,TAX76671,DUNS,KG93510,Active,"467 Zachary Trace, Port Jeffreyland, WY 99088-7817",467 Zachary Trace,,Port Jeffreyland,WY,USA,99088-7817,99088,7817
Martinez LLC,Non-Profit,Approved,Mobile,(235) 945-5988,Support,mindy.gilmore@martinez.com,False,TAX98974,DUNS,El09013,Inactive,"551 Jones Street, Suite 433, Lake Matthewbury, CA 74830-2678",551 Jones Street,Suite 433,Lake Matthewbury,CA,USA,74830-2678,74830,2678
Holmes and Sons,Private,Pending,Home,(849) 765-9861,Sales,tammy.foster@holmes.com,False,TAX62199,DUNS,Mx19775,Active,"69302 William Ports Suite 951, Jacksonside, VA 33401-1946",69302 William Ports Suite 951,,Jacksonside,VA,USA,33401-1946,33401,1946
Ortiz Group,Public,Validated,Fax,(286) 373-1751,Support,justin.phillips@ortiz.com,False,TAX44093,PAN,Fd10131,Active,"5591 Jesse Port, Michelleville, TX 63788-3248",5591 Jesse Port,,Michelleville,TX,USA,63788-3248,63788,3248
"Davenport, Benson and Chen",Government,Rejected,Office,(452) 262-1912,Personal,william.alexander@davenport.com,True,TAX99023,TIN,Rl14182,Active,"58187 Steven Crescent Apt. 294, Apt. 196, Reillybury, IA 40656-8127",58187 Steven Crescent Apt. 294,Apt. 196,Reillybury,IA,USA,40656-8127,40656,8127
"Burch, Nguyen and Hudson",Non-Profit,Rejected,Fax,(217) 359-4420,Personal,michael.glover@burch.com,True,TAX42340,TIN,Zu55242,Active,"08315 Giles Well, Suite 938, Welchfort, MN 14358-5517",08315 Giles Well,Suite 938,Welchfort,MN,USA,14358-5517,14358,5517
"Williamson, Ingram and Burton",Government,Approved,Mobile,(249) 291-8165,Personal,wendy.weeks@williamson.com,True,TAX97782,DUNS,YU07461,Inactive,"943 Washington Mountain, Stephanieburgh, MI 72533-3662",943 Washington Mountain,,Stephanieburgh,MI,USA,72533-3662,72533,3662
"Miller, Barnes and Oliver",Non-Profit,Validated,Mobile,(973) 982-4855,Support,james.adams@miller.com,False,TAX70945,GST,Zm71643,Inactive,"468 Miller Cove Apt. 809, Suite 579, Lisaborough, RI 39694-6100",468 Miller Cove Apt. 809,Suite 579,Lisaborough,RI,USA,39694-6100,39694,6100
Cortez Inc,Non-Profit,Rejected,Home,(586) 224-5944,Personal,lindsey.molina@cortez.com,False,TAX56387,EIN,fo44532,Pending,"887 Catherine Road, Sandersfort, MD 79245-7932",887 Catherine Road,,Sandersfort,MD,USA,79245-7932,79245,7932
Martin Ltd,Non-Profit,Rejected,Home,(249) 212-1353,Support,ashley.owens@martin.com,True,TAX98085,DUNS,IR89711,Expired,"9987 Barker Extensions, East Vickiside, WA 55358-4312",9987 Barker Extensions,,East Vickiside,WA,USA,55358-4312,55358,4312
Lopez Ltd,LLC,Rejected,Fax,(574) 292-3839,Personal,crystal.hernandez@lopez.com,True,TAX88394,EIN,bP82118,Expired,"26300 Nicholas Stravenue, Sanchezside, PR 82547-7407",26300 Nicholas Stravenue,,Sanchezside,PR,USA,82547-7407,82547,7407
Alexander-Hoffman,Partnership,Validated,Office,(984) 478-9986,Business,bradley.mercado@alexanderhoffman.com,True,TAX65842,LEI,Dc17849,Expired,"202 Robert Drives, South Heather, AL 84180-2094",202 Robert Drives,,South Heather,AL,USA,84180-2094,84180,2094
"Mcdonald, Duffy and Kim",Non-Profit,Approved,Fax,(749) 587-7168,Business,anna.gay@mcdonald.com,True,TAX39207,DUNS,fR52375,Active,"48867 Melanie Loaf Apt. 210, Apt. 778, Port Kimmouth, TX 15641-8382",48867 Melanie Loaf Apt. 210,Apt. 778,Port Kimmouth,TX,USA,15641-8382,15641,8382
Duncan Ltd,Non-Profit,Approved,Home,(508) 229-8306,Sales,marie.ross@duncan.com,False,TAX67154,TIN,gF95002,Inactive,"326 Johnson Path Apt. 716, Careyville, OK 83028-8306",326 Johnson Path Apt. 716,,Careyville,OK,USA,83028-8306,83028,8306
"Norris, Gonzalez and Nunez",Public,Rejected,Home,(225) 534-7634,Business,michael.green@norris.com,True,TAX32666,PAN,oQ36622,Expired,"7128 Garcia Burgs, Apt. 580, Baileymouth, MT 73258-6661",7128 Garcia Burgs,Apt. 580,Baileymouth,MT,USA,73258-6661,73258,6661
"Smith, Austin and Tran",Private,Approved,Home,(807) 948-5730,Sales,john.poole@smith.com,False,TAX28484,EIN,QI67166,Expired,"57642 Mark Stravenue, Suite 076, Elizabethhaven, NM 70412-6861",57642 Mark Stravenue,Suite 076,Elizabethhaven,NM,USA,70412-6861,70412,6861
"Graham, Shelton and Mccoy",Public,Approved,Mobile,(529) 950-5061,Support,michelle.munoz@graham.com,False,TAX24639,GST,ib92358,Inactive,"3649 John Loaf, Cisnerosland, WY 82750-3137",3649 John Loaf,,Cisnerosland,WY,USA,82750-3137,82750,3137
"Foley, Jennings and Dennis",Non-Profit,Rejected,Home,(499) 806-4491,Sales,bobby.wilson@foley.com,False,TAX27842,EIN,VS88033,Pending,"2549 Thomas Crescent, Whiteborough, MN 29375-5996",2549 Thomas Crescent,,Whiteborough,MN,USA,29375-5996,29375,5996
Miles PLC,Government,Validated,Mobile,(753) 611-8303,Support,michael.brown@miles.com,False,TAX75929,EIN,PZ39827,Inactive,"231 Brown Place, North Brittanytown, LA 60895-7448",231 Brown Place,,North Brittanytown,LA,USA,60895-7448,60895,7448
Clark-Carey,LLC,Validated,Home,(366) 350-9791,Business,nathan.rowe@clarkcarey.com,False,TAX57188,DUNS,tE99011,Pending,"6514 Christopher Rapid Suite 166, Dawnton, SC 50804-2212",6514 Christopher Rapid Suite 166,,Dawnton,SC,USA,50804-2212,50804,2212
Maldonado and Sons,Non-Profit,Validated,Mobile,(262) 571-1955,Business,kimberly.williams@maldonado.com,False,TAX91625,DUNS,Hq57714,Active,"124 Caroline Stravenue Apt. 785, Riceland, UT 96143-1277",124 Caroline Stravenue Apt. 785,,Riceland,UT,USA,96143-1277,96143,1277
